grain_num	clip_index	start	end	ms	wav
132	348	52163	52572	31	grain_132_clip348.wav
133	363	52572	52760	14	grain_133_clip363.wav
134	364	52760	53100	26	grain_134_clip364.wav
135	365	53100	53422	25	grain_135_clip365.wav
136	366	53422	53646	17	grain_136_clip366.wav
137	368	53646	53963	24	grain_137_clip368.wav
138	369	53963	54405	34	grain_138_clip369.wav
139	370	54405	54759	27	grain_139_clip370.wav
140	371	54759	55070	24	grain_140_clip371.wav
141	372	55070	55489	32	grain_141_clip372.wav
142	373	55489	55826	26	grain_142_clip373.wav
143	374	55826	56150	25	grain_143_clip374.wav
144	375	56150	56450	23	grain_144_clip375.wav
145	376	56450	56760	24	grain_145_clip376.wav
146	378	56760	57178	32	grain_146_clip378.wav
147	379	57178	57382	16	grain_147_clip379.wav
148	380	57382	57702	25	grain_148_clip380.wav
149	382	57702	58241	41	grain_149_clip382.wav
150	383	58241	58767	40	grain_150_clip383.wav
151	384	58767	59096	25	grain_151_clip384.wav
152	385	59096	59403	24	grain_152_clip385.wav
153	386	59403	59832	33	grain_153_clip386.wav
154	387	59832	60146	24	grain_154_clip387.wav
155	389	60146	60551	31	grain_155_clip389.wav
156	390	60551	60956	31	grain_156_clip390.wav
157	405	60956	61250	23	grain_157_clip405.wav
158	406	61250	61569	25	grain_158_clip406.wav
159	407	61569	61997	33	grain_159_clip407.wav
160	408	61997	62307	24	grain_160_clip408.wav
161	410	62307	62627	25	grain_161_clip410.wav
162	411	62627	62928	23	grain_162_clip411.wav
163	412	62928	63362	33	grain_163_clip412.wav
164	413	63362	63666	23	grain_164_clip413.wav
165	414	63666	63984	24	grain_165_clip414.wav
166	415	63984	64388	31	grain_166_clip415.wav
167	416	64388	64731	26	grain_167_clip416.wav
168	417	64731	65031	23	grain_168_clip417.wav
169	418	65031	65431	31	grain_169_clip418.wav
170	419	65431	65744	24	grain_170_clip419.wav
171	420	65744	66160	32	grain_171_clip420.wav
172	421	66160	66577	32	grain_172_clip421.wav
173	422	66577	66986	31	grain_173_clip422.wav
174	424	66986	67426	34	grain_174_clip424.wav
175	425	67426	67844	32	grain_175_clip425.wav
176	426	67844	68277	33	grain_176_clip426.wav
177	427	68277	68572	23	grain_177_clip427.wav
178	428	68572	68996	33	grain_178_clip428.wav
179	429	68996	69405	31	grain_179_clip429.wav
180	430	69405	69721	24	grain_180_clip430.wav
181	431	69721	70126	31	grain_181_clip431.wav
182	432	70126	70525	31	grain_182_clip432.wav
183	447	70525	70798	21	grain_183_clip447.wav
184	448	70798	71119	25	grain_184_clip448.wav
185	449	71119	71568	35	grain_185_clip449.wav
186	450	71568	71905	26	grain_186_clip450.wav
187	453	71905	72321	32	grain_187_clip453.wav
188	454	72321	72646	25	grain_188_clip454.wav
189	455	72646	73048	31	grain_189_clip455.wav
190	456	73048	73363	24	grain_190_clip456.wav
191	457	73363	73735	29	grain_191_clip457.wav
192	458	73735	74031	23	grain_192_clip458.wav
193	459	74031	74337	24	grain_193_clip459.wav
194	475	74337	74531	15	grain_194_clip475.wav
195	476	74531	74778	19	grain_195_clip476.wav
196	477	74778	75103	25	grain_196_clip477.wav
197	478	75103	75554	35	grain_197_clip478.wav
198	480	75554	75971	32	grain_198_clip480.wav
199	481	75971	76389	32	grain_199_clip481.wav
200	482	76389	76744	27	grain_200_clip482.wav
